Label;Split;Style;Action;Business Object;Addition;Tags
update and send to partner;;VO;update send;to partner;;
update approval register;;VO;update;approval register;;
update approval status in sharepoint;;VO;update;approval status in sharepoint;;
update case details;;VO;update;case details;;
update case details and archive;;VO;update archive;case details;;
update case file and archive;;VO;update;case file and archive;;
update claims system;;VO;update;claims system;;
update cr with new release date;;VO;update;cr with new release date;;
update customer account;;VO;update;customer account;;
update customer data;;VO;update;customer data;;
update customer file;;VO;update;customer file;;
update customer information;;VO;update;customer information;;
update customer on billing;;VO;update;customer on billing;;
update database;;VO;update;database;;
update disi website;;VO;update;disi website;;
update doctor school website;;VO;update;doctor school website;;
update documents;;VO;update;documents;;
update edocs with new origonal;;VO;update;edocs with new origonal;;
update enginestock level;;VO;update;enginestock level;;
update event;;VO;update;event;;
update from svn;;VO;update;from svn;;
update g / l accounts;;VO;update;g / l accounts;;
update gl;;VO;update;gl;;
update group calendar;;VO;update;group calendar;;
update ict doctoralwebsite;;VO;update;ict doctoralwebsite;;
update info;;VO;update;info;;
update invitation response;;VO;update;invitation response;;
update invoice;;VO;update;invoice;;
update ledger;;VO;update;ledger;;
update manufacturing plan;;VO;update;manufacturing plan;;
update motorcycle production price;;VO;update;motorcycle production price;;
update motorcycle stock level;;VO;update;motorcycle stock level;;
update order;;VO;update;order;;
update order?;;GATEWAY;update;order?;;
update orders with shipment detail;;VO;update;orders with shipment detail;;
update player details;;VO;update;player details;;
update player information;;VO;update;player information;;
update policy;;VO;update;policy;;
update position profile;;VO;update;position profile;;
update profile;;VO;update;profile;;
update proposals;;VO;update;proposals;;
update record state as approved;;VO;update;record state as approved;;
update record state as rejected;;VO;update;record state as rejected;;
update sales info;;VO;update;sales info;;
update sapinvoice;;VO;update;sapinvoice;;
update stock;;VO;update;stock;;
update stock level;;VO;update;stock level;;
update stocklevel ofmaterial;;VO;update;stocklevel ofmaterial;;
update supplier's info based on current experience;;VO;update;supplier's info based on current experience;;
update the profile;;VO;update;the profile;;
update the website with courses info and schedulings;;VO;update;the website with courses info and schedulings;;
update vacancies;;VO;update;vacancies;;
update vendor information;;VO;update;vendor information;;
update vendor master record;;VO;update;vendor master record;;
update vendor purchase history and details;;VO;update;vendor purchase history and details;;
update wage offer;;VO;update;wage offer;;
update worker list;;VO;update;worker list;;
updated record state as rejected;;DES / EVENT;updated;record state;;
updates inventory;;DES / EVENT;updates;inventory;;
updating internal records;;AN;updating;internal records;;
updating the information;;AN;updating;the information;;
upload;;VO;upload;;;
upload application documents;;VO;upload;application documents;;
upload customer info;;VO;upload;customer info;;
upload daily info;;VO;upload;daily info;;
upload daily job;;VO;upload;daily job;;
upload documents to cloud;;VO;upload;documents to cloud;;
upload employees details;;VO;upload;employees details;;
upload existing photo;;VO;upload;existing photo;;
upload existing video;;VO;upload;existing video;;
upload info;;VO;upload;info;;
upload photos;;VO;upload;photos;;
uploading;;AN;uploading;;;
uploading documents;;AN;uploading;documents;;
urgent invoices;;NA;;urgent invoices;;
usa;;NA;;;;
use;;VO;use;;;
use goods from stock;;VO;use;goods from stock;;
use surges (for whatever);;VO;use;surges (for whatever);;
user clicks buy;;DES / EVENT;clicks;user, buy;;
user clicks cancel;;DES / EVENT;clicks;user, cancel;;
user history;;NA;history;user;;
user is prompted to log in;;DES / EVENT;is prompted;user;;
user profile;;NA;profile;user;;
user uses paypal account;;DES / EVENT;uses;user;;
username & password validating;;AN;validating;username & password;;
validate and process resource request;;VO;validate process;resource request;;
validate available flight;;VO;validate;available flight;;
validate claim;;VO;validate;claim;;
validate fields for completeness;;VO;validate;fields for completeness;;
validate inserted data;;VO;validate;inserted data;;
validate invoice;;VO;validate;invoice;;
validate sales order;;VO;validate;sales order;;
validate sap record;;VO;validate;sap record;;
validate the blue pages;;VO;validate;the blue pages;;
validate the mission order;;VO;validate;the mission order;;
validate the schedule;;VO;validate;the schedule;;
validate the ticket order;;VO;validate;the ticket order;;
validation of grid;;AN;validation;of grid;;
validation of invoice;;AN;validation;of invoice;;
validation of practices;;AN;validation;of practices;;
validation of process;;AN;validation;of process;;
validity confirmed;;DES / EVENT;confirmed;validity;;
vegetable;;NA;;;;
vehicle repaired;;DES / EVENT;repaired;vehicle;;
vendor name entered;;DES / EVENT;entered;vendor name;;
verification email;;NA;email;verification;;
verification of order information;;AN;verification;of order information;;
verification of users (login detials);;AN;verification;of users;(login detials);
verify account;;VO;verify;account;;
verify against customer's profile;;VO;verify;against customer's profile;;
verify available vacation days;;VO;verify;available vacation days;;
verify details (login details);;VO;verify;details (login details);;
verify documents;;VO;verify;documents;;
verify fee payment;;VO;verify;fee payment;;
verify inventory available;;VO;verify;inventory available;;
verify order;;VO;verify;order;;
verify payment;;VO;verify;payment;;
verify payment against user's profile;;VO;verify;payment against user's profile;;
verify position profile;;VO;verify;position profile;;
verify purchase order;;VO;verify;purchase order;;
verify repayment agreement;;VO;verify;repayment agreement;;
verify repayment assessment;;VO;verify;repayment assessment;;
verify rfq;;VO;verify;rfq;;
verify sales quote;;VO;verify;sales quote;;
verify sales quote;;VO;verify;sales quote;;
verify student in good standing;;VO;verify;student in good standing;;
verify submited data;;VO;verify;submited data;;
verify the documents;;VO;verify;the documents;;
verify the documents;;VO;verify;the documents;;
verify the rfq;;VO;verify;the rfq;;
verify the rfq;;VO;verify;the rfq;;
verify the table of reimbursement;;VO;verify;the table of reimbursement;;
verify thedocuments;;VO;verify;thedocuments;;
verify transfer;;VO;verify;transfer;;
verify users details;;VO;verify;users details;;
verifying customers detail;;AN;verifying;customers detail;;
verifying the email address;;AN;verifying;the email address;;
verifying user name and password;;AN;verifying;user name and password;;
view book details;;VO;view;book details;;
view confirmation order;;VO;view;confirmation order;;
view event page;;VO;view;event page;;
view list of items;;VO;view;list of items;;
view list of new copies;;VO;view;list of new copies;;
view list of used copies;;VO;view;list of used copies;;
view loginpage;;VO;view;loginpage;;
view medical incidents;;VO;view;medical incidents;;
view message;;VO;view;message;;
view news feed;;VO;view;news feed;;
view nutritional information;;VO;view;nutritional information;;
view results;;VO;view;results;;
view teams;;VO;view;teams;;
view transactions;;VO;view;transactions;;
vino;;NA;;;;
visit amazon.com;;VO;visit;amazon.com;;
wagon;;NA;;;;
wait for client response;;VO;wait;for client response;;
wait for goods for one market to reach 30sq. m;;VO;wait;for goods for one market to reach 30sq. m;;
wait for outcome of name change;;VO;wait;for outcome of name change;;
wait for some time;;VO;wait;for some time;;
waiting for cera2update;;AN;waiting;for cera2update;;
waiting for doi registration;;AN;waiting;for doi registration;;
waiting for metadatabase update;;AN;waiting;for metadatabase update;;
waiting for payment of the fees;;AN;waiting;for payment;of the fees;
warehouse management;;AN;management;warehouse;;
warehouse shelf;;AN;;warehouse shelf;;
warm goods are prepared 1 / 2 hour before time;;DES / EVENT;are prepared;warm goods;;
water level in the lock chamber rises;;DES / EVENT;rises;water level;;
weather;;NA;;weather;;
weather forecast;;AN;;weather forecast;;
weather radar;;AN;;weather radar;;
web server displays requested content for client;;DES / EVENT;displays;requested content;;
weekly planning run;;AN;run;weekly planning;;
weigh food;;VO;weigh;food;;
weight check;;AN;check;weight;;
weight luggage;;VO;weight;luggage;;
welcome new employee;;VO;welcome;new employee;;
welcome screen;;NA;;welcome screen;;
wellness management;;AN;management;wellness;;
wellness management (sp5);;AN;management;wellness;(sp5);
wheel retainer;;NA;;wheel retainer;;
withdraw cash;;VO;withdraw;cash;;
withdraw registration;;VO;withdraw;registration;;
work on case;;VO;work;on case;;
work on problem;;VO;work;on problem;;
work subtitute's shift;;VO;work;subtitute's shift;;
work unwanted shift;;VO;work;unwanted shift;;
